@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute limbs-1 numeric
@attribute limbs-2 numeric
@attribute limbs-3 numeric
@attribute limbs-4 numeric
@attribute limbs-5 numeric
@attribute limbs-6 numeric
@attribute limbs-7 numeric
@attribute limbs-8 numeric
@attribute limbs-9 numeric
@attribute limbs-10 numeric
@attribute limbs-11 numeric
@attribute limbs-12 numeric
@attribute limbs-13 numeric
@attribute limbs-14 numeric
@attribute limbs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
71,'2015/11/25 23:40:52:174',1,103.88636,81.335381,171.18187,168.231003,172.758499,168.87767,101.992157,101.993896,154.960144,156.461044,179.04393,165.294388,166.361588,171.746231,46.776512,1,0.56,0,0,0
72,'2015/11/25 23:40:52:292',1,86.9972,81.871994,170.084229,166.601974,173.412491,167.968216,101.962311,102.004951,155.731064,155.187836,171.253983,166.647507,172.246979,173.878448,47.258297,1,0.56,0,0,0
73,'2015/11/25 23:40:52:414',1,110.077644,83.598381,167.743057,168.388535,172.830109,167.5672,102.140411,102.218895,152.195374,155.031769,165.643066,169.467209,176.599823,172.949646,50.615669,1,0.56,0,0,0
74,'2015/11/25 23:40:52:500',1,102.757874,84.745163,169.682434,169.433487,171.901947,168.674698,101.912224,102.332176,152.280701,153.812119,176.938538,168.15863,178.758514,172.914261,51.430576,1,0.56,0,0,0
75,'2015/11/25 23:40:52:643',1,103.736275,85.581116,168.22641,165.532166,169.83342,169.085114,101.905884,102.460182,150.835251,152.813004,163.191635,168.958694,177.672607,164.800629,53.684147,1,0.56,0,0,0
76,'2015/11/25 23:40:52:803',1,106.581505,89.947884,166.110107,168.77951,167.432922,170.421585,101.912636,102.766655,150.050491,150.825531,150.857407,159.678787,173.080292,179.416245,56.648777,1,0.56,0,0,0
77,'2015/11/25 23:40:53:031',1,109.208267,90.559349,164.681671,164.324738,167.59816,170.219925,102.134186,102.759888,148.808029,150.505417,145.149506,157.401093,171.902481,168.664093,58.609344,1,0.56,0,0,0
78,'2015/11/25 23:40:53:161',1,110.807938,90.26899,163.367035,167.754425,167.581284,170.408295,102.13398,102.867226,148.746674,149.948074,148.136734,154.421677,171.627823,165.551682,59.270077,1,0.56,0,0,0
79,'2015/11/25 23:40:53:244',1,111.4076,90.374428,165.306656,172.163605,167.687103,170.210495,102.1409,102.92894,149.053726,149.340485,147.952866,153.930023,174.444229,155.241638,59.485474,1,0.56,0,0,0
80,'2015/11/25 23:40:53:444',1,111.183586,89.805351,167.842117,175.875671,167.689163,170.26857,102.09613,102.977478,149.529739,148.942535,149.441223,157.458557,177.505051,172.839188,59.245499,1,0.56,0,0,0
